,Ticker,Quarter,Analyst,WeightTechnical
111,COG,2018 q1,Stewart Glickman,0.0
113,COG,2018 q1,William Featherston,0.0
115,COG,2018 q1,Mr. Doug G. Leggate,0.0
116,COG,2018 q1,"Thomas R. Driscoll, CFA",0.015826940536499023
117,COG,2018 q1,Mr. Marshall Coltrain,0.0
118,COP,2018 q1,"Mr. Allen Good, CFA",0.0
119,COP,2018 q1,"Mr. Paul Y. Cheng, CFA",0.0
120,COP,2018 q1,Stewart Glickman,0.0
124,COP,2018 q1,Mr. Paul B. Sankey,0.0
126,COP,2018 q1,Mr. Doug G. Leggate,0.0
127,COP,2018 q1,Scott M. Hanold,0.0
128,COP,2018 q1,William Featherston,0.0
130,COP,2018 q1,"Mr. John P. Herrlin, Jr",0.0
133,CVX,2018 q1,Mr. Gordon M. Gray,0.03943603113293648
134,CVX,2018 q1,William Featherston,0.0
135,CVX,2018 q1,Mr. Paul B. Sankey,0.0
136,CVX,2018 q1,Ryan Todd,0.0
137,CVX,2018 q1,"Mr. Paul Y. Cheng, CFA",0.0
138,CVX,2018 q1,Mr. Doug G. Leggate,0.0
139,CVX,2018 q1,Mr. Biraj Borkhataria,0.01868373528122902
141,CVX,2018 q1,Mr. Jason D. Gammel,0.0
143,CVX,2018 q1,Stewart Glickman,0.0
144,CVX,2018 q1,Mr. Jason Gabelman,0.0
150,CVX,2018 q1,"Mr. John P. Herrlin, Jr",0.0
154,CVX,2018 q1,Mr. Thomas Kee,0.27996131777763367
157,DVN,2018 q1,CFRA Research,0.0
159,DVN,2018 q1,Mr. Christopher A. Jacobson,0.024134960025548935
160,DVN,2018 q1,Mr. Doug G. Leggate,0.02205380890518427
161,DVN,2018 q1,Mr. Biju Z. Perincheril,0.0
162,DVN,2018 q1,William Featherston,0.0
163,DVN,2018 q1,"Mark Lear, CFA",0.0
164,DVN,2018 q1,Stewart Glickman,0.0
165,DVN,2018 q1,Scott M. Hanold,0.0
166,DVN,2018 q1,Ben Wyatt,0.0
168,DVN,2018 q1,Mr. Paul B. Sankey,0.0
172,DVN,2018 q1,Credit Suisse Global Product Marketing,0.0
174,DVN,2018 q1,Mr. Stephen Richardson,0.0
175,DVN,2018 q1,"Mr. John P. Herrlin, Jr",0.0
176,DVN,2018 q1,SADIF Research,0.9098606109619141
177,EOG,2018 q1,Mr. Leo P. Mariani,0.0
178,EOG,2018 q1,"Mark Lear, CFA",0.0
179,EOG,2018 q1,CFRA Research,0.0
181,EOG,2018 q1,Scott M. Hanold,0.02567448653280735
182,EOG,2018 q1,Irene Haas,0.0
183,EOG,2018 q1,Mr. Paul B. Sankey,0.0
184,EOG,2018 q1,Stewart Glickman,0.0
185,EOG,2018 q1,Mr. Stephen Richardson,0.0
186,EOG,2018 q1,Mr. Doug G. Leggate,0.0
187,EOG,2018 q1,"Charles Robertson, CFA",0.0
188,EOG,2018 q1,Mr. David W. Kistler,0.0
189,EOG,2018 q1,"Mr. John P. Herrlin, Jr",0.0
191,FANG,2018 q1,"Mr. Asit K. Sen, CFA",0.0
192,FANG,2018 q1,Mr. David W. Kistler,0.017740387469530106
193,FANG,2018 q1,Stewart Glickman,0.0
195,FANG,2018 q1,Ben Wyatt,0.0
196,FANG,2018 q1,Ms. Gail A. Nicholson,0.0
197,FANG,2018 q1,"Mr. Dave Meats, CFA",0.005994777660816908
198,FANG,2018 q1,"Mark Lear, CFA",0.0
199,FANG,2018 q1,Mr. Neal D. Dingmann,0.0
201,FANG,2018 q1,Mr. John M. White,0.011045465245842934
202,FANG,2018 q1,Jeff S. Grampp,0.0
203,FANG,2018 q1,Ms. Betty Jiang,0.0
205,FANG,2018 q1,"Mr. Nitin Kumar, CFA",0.011851096525788307
209,HFC,2018 q1,CFRA Research,0.0
210,HFC,2018 q1,Mr. Manav Gupta,0.0
212,HFC,2018 q1,Stewart Glickman,0.0
214,HFC,2018 q1,"Mr. Allen Good, CFA",0.0
216,HFC,2018 q1,Mr. Jason Gabelman,0.010877788998186588
218,KMI,2018 q1,Mr. Travis Miller,0.0
219,KMI,2018 q1,Stewart Glickman,0.0
220,KMI,2018 q1,"Ms. Elvira Scotto, CFA",0.0
221,KMI,2018 q1,Keith Stanley,0.004148645947376887
222,KMI,2018 q1,Dennis Coleman,0.0
223,KMI,2018 q1,Mr. Michael J. Blum,0.0
230,MPC,2018 q1,"Mr. Allen Good, CFA",0.0
231,MPC,2018 q1,CFRA Research,0.0
234,MPC,2018 q1,Mr. Manav Gupta,0.0
236,MPC,2018 q1,Stewart Glickman,0.0
240,MPC,2018 q1,Mr. Paul B. Sankey,0.04271884635090828
241,MPC,2018 q1,"Mr. Douglas T. Terreson, CFA",0.024992022663354874
242,MPC,2018 q1,"Mr. Paul Y. Cheng, CFA",0.0
243,MPC,2018 q1,Mr. Jason Gabelman,0.0
246,MRO,2018 q1,CFRA Research,0.0
247,MRO,2018 q1,Stewart Glickman,0.0
248,MRO,2018 q1,Mr. Biju Z. Perincheril,0.0
250,MRO,2018 q1,Mr. Paul B. Sankey,0.008658788166940212
253,MRO,2018 q1,"Mr. John P. Herrlin, Jr",0.0
254,OKE,2018 q1,CFRA Research,0.0
256,OKE,2018 q1,Mr. Michael J. Blum,0.0
257,OKE,2018 q1,"Ms. Elvira Scotto, CFA",0.0
258,OKE,2018 q1,Dennis Coleman,0.0
259,OKE,2018 q1,Mr. Matthew Phillips,0.009739971719682217
262,OKE,2018 q1,Stewart Glickman,0.0
266,OKE,2018 q1,SADIF Research,0.9368139505386353
268,OKE,2018 q1,"Richard G. Gross, II",0.0
269,PSX,2018 q1,CFRA Research,0.0
270,PSX,2018 q1,Mr. Manav Gupta,0.0
272,PSX,2018 q1,Stewart Glickman,0.0
274,PSX,2018 q1,"Mr. Paul Y. Cheng, CFA",0.0
275,PSX,2018 q1,Mr. Jason Gabelman,0.0
276,PSX,2018 q1,"Mr. Guy Baber, IV",0.0
278,PSX,2018 q1,"Mr. Douglas T. Terreson, CFA",0.0
280,PSX,2018 q1,Mr. Doug G. Leggate,0.0
283,VLO,2018 q1,"Mr. Allen Good, CFA",0.0
284,VLO,2018 q1,CFRA Research,0.0
287,VLO,2018 q1,Stewart Glickman,0.0
291,VLO,2018 q1,"Mr. Douglas T. Terreson, CFA",0.0
292,VLO,2018 q1,Mr. Doug G. Leggate,0.0
293,VLO,2018 q1,Mr. Jason Gabelman,0.0
296,VLO,2018 q1,Mr. Peter Low,0.0
297,WMB,2018 q1,Mr. Stephen Ellis,0.0
298,WMB,2018 q1,CFRA Research,0.0
299,WMB,2018 q1,Stewart Glickman,0.0
303,WMB,2018 q1,"Sharon Lui, CPA",0.0
304,WMB,2018 q1,Alex Kania,0.0
306,WMB,2018 q1,Dennis Coleman,0.0037222756072878838
308,WMB,2018 q1,Mr. Michael J. Blum,0.0
314,XOM,2018 q1,"Mr. John P. Herrlin, Jr",0.0
315,XOM,2018 q1,CFRA Research,0.0
316,XOM,2018 q1,"Mr. Allen Good, CFA",0.0021590787917375566
319,XOM,2018 q1,Mr. Paul B. Sankey,0.0
320,XOM,2018 q1,"Mr. Douglas T. Terreson, CFA",0.0
321,XOM,2018 q1,Mr. Doug G. Leggate,0.0
322,XOM,2018 q1,Mr. Biraj Borkhataria,0.01666666753590107
323,XOM,2018 q1,Mr. Jason Gabelman,0.0
325,XOM,2018 q1,"Mr. Paul Y. Cheng, CFA",0.0
327,XOM,2018 q1,Stewart Glickman,0.0
329,XOM,2018 q1,Mr. Jason D. Gammel,0.0
334,HAL,2018 q1,Mr. Kurt Hallead,0.0
335,HAL,2018 q1,Timna Tanners,0.0
336,HAL,2018 q1,"Mr. Kevin D. Simpson, CFA",0.015354489907622337
337,HAL,2018 q1,Mr. David Havens,0.0
338,HAL,2018 q1,Mr. Michael K. Lamotte,0.0
339,HAL,2018 q1,"Mr. Charles P. Minervino, CFA",0.0
340,HAL,2018 q1,Mr. Chase Mulvehill,0.0
342,HAL,2018 q1,Mr. Christopher A. Jacobson,0.010262333787977695
343,HAL,2018 q1,"Mr. Judson E. Bailey, CFA",0.0
344,HAL,2018 q1,Paige Marcus,0.0
348,HAL,2018 q1,"Mr. J. David J. Anderson, CFA",0.0
349,HAL,2018 q1,Edward Muztafago,0.010799289681017399
350,HAL,2018 q1,Mr. Kenneth I. Sill,0.0
352,HAL,2018 q1,Igor Levi,0.0
354,HAL,2018 q1,Mr. Brad P. Handler,0.0
357,HAL,2018 q1,Mr. James K. Wicklund,0.0
358,HAL,2018 q1,Mr. James C. West,0.0
362,FTI,2018 q1,"Mr. Judson E. Bailey, CFA",0.0
363,FTI,2018 q1,Mr. Robert J. Pulleyn,0.0
364,FTI,2018 q1,Preston Caldwell,0.0
367,FTI,2018 q1,Hr. Per C. Olsen,0.0312531515955925
369,FTI,2018 q1,Paige Marcus,0.0
370,FTI,2018 q1,"Mr. J. David J. Anderson, CFA",0.0
371,FTI,2018 q1,Mr. Mick Pickup,0.0
372,FTI,2018 q1,Mr. Jean-Pierre Dmirdjian,0.0
374,FTI,2018 q1,"Mr. Simon T. Wong, CFA",0.03333333507180214
375,FTI,2018 q1,Bertrand Hodee,0.0
376,FTI,2018 q1,"Mr. Charles P. Minervino, CFA",0.0
377,FTI,2018 q1,"Mr. Marc G. Bianchi, CFA",0.0
378,FTI,2018 q1,Mr. Kurt Hallead,0.0
380,FTI,2018 q1,Mr. William A. Herbert,0.0
381,FTI,2018 q1,Mr. Gregory Brown,0.0
384,FTI,2018 q1,Mr. Guillaume Delaby,0.0
385,HP,2018 q1,John M. Daniel,0.0
386,HP,2018 q1,"Mr. Charles P. Minervino, CFA",0.0
388,HP,2018 q1,Mr. James C. West,0.0
390,HP,2018 q1,Mr. James K. Wicklund,0.005318587180227041
391,HP,2018 q1,Mr. Michael K. Lamotte,0.0219801664352417
392,HP,2018 q1,Paige Marcus,0.0
393,HP,2018 q1,Mr. Kenneth I. Sill,0.023146245628595352
395,HP,2018 q1,Preston Caldwell,0.011312773451209068
396,HP,2018 q1,Edward Muztafago,0.029411913827061653
398,HP,2018 q1,Mr. Chase Mulvehill,0.017041033133864403
401,HP,2018 q1,Mr. David Havens,0.0
403,HP,2018 q1,Timna Tanners,0.05094485729932785
404,HP,2018 q1,Mr. Kurt Hallead,0.03333333507180214
405,HP,2018 q1,Mr. Brad P. Handler,0.0
407,HP,2018 q1,"Mr. Marc G. Bianchi, CFA",0.0
408,HP,2018 q1,"Mr. Judson E. Bailey, CFA",0.026691434904932976
410,NOV,2018 q1,Mr. Kenneth I. Sill,0.0
411,NOV,2018 q1,Paige Marcus,0.0
413,NOV,2018 q1,"Mr. J. David J. Anderson, CFA",0.0
415,NOV,2018 q1,Edward Muztafago,0.0
416,NOV,2018 q1,Mr. Chase Mulvehill,0.0
417,NOV,2018 q1,Mr. Eduardo B. Royes,0.0
418,NOV,2018 q1,"Mr. Charles P. Minervino, CFA",0.0
419,NOV,2018 q1,Mr. Kurt Hallead,0.010924887843430042
420,NOV,2018 q1,Mr. David Havens,0.0
421,NOV,2018 q1,"Mr. Judson E. Bailey, CFA",0.0
423,SLB,2018 q1,"Mr. Judson E. Bailey, CFA",0.0
424,SLB,2018 q1,"Mr. J. David J. Anderson, CFA",0.0
425,SLB,2018 q1,"Mr. Charles P. Minervino, CFA",0.0
426,SLB,2018 q1,Mr. Chase Mulvehill,0.0
427,SLB,2018 q1,Timna Tanners,0.01666666753590107
428,SLB,2018 q1,"Mr. Kevin D. Simpson, CFA",0.028912981351216633
429,SLB,2018 q1,"Mr. Marc G. Bianchi, CFA",0.0
432,SLB,2018 q1,Paige Marcus,0.0
435,SLB,2018 q1,Edward Muztafago,0.0
437,SLB,2018 q1,Mr. Brad P. Handler,0.0
438,SLB,2018 q1,Mr. Kenneth I. Sill,0.0
441,SLB,2018 q1,Igor Levi,0.0
442,SLB,2018 q1,Mr. Kurt Hallead,0.006240712478756905
448,ADM,2018 q1,Mr. Vincent Andrews,0.0
450,ADM,2018 q1,Joseph Agnese,0.0
453,ADM,2018 q1,Mr. Seth Goldstein,0.0
457,ADM,2018 q1,Ms. Farha Aslam,0.021518319845199585
458,ADM,2018 q1,Brett W. Wong,0.0
459,ADM,2018 q1,Mr. Robert B. Moskow,0.0
463,CAG,2018 q1,Joseph Agnese,0.0
464,CAG,2018 q1,SADIF Research,0.9740912914276123
465,CAG,2018 q1,Mr Rob Dickerson,0.0
466,CAG,2018 q1,Bryan D. Spillane,0.0
467,CAG,2018 q1,David S. Palmer,0.023409406188875437
468,CAG,2018 q1,Mr. Andrew Lazar,0.0
469,CAG,2018 q1,Mr. Robert B. Moskow,0.014023235067725182
470,CAG,2018 q1,Mr. Matthew C. Grainger,0.0
477,CAG,2018 q1,Lubi Kutua,0.0
480,CAG,2018 q1,Mr. Sonia Vora,0.03333333507180214
481,CPB,2018 q1,Bryan D. Spillane,0.0
482,CPB,2018 q1,Joseph Agnese,0.0
483,CPB,2018 q1,Mr. Michael S. Lavery,0.0
484,CPB,2018 q1,David S. Palmer,0.0
488,CPB,2018 q1,Mr. Andrew Lazar,0.0
489,CPB,2018 q1,Mr. Matthew C. Grainger,0.0
490,CPB,2018 q1,Scott A. Mushkin,0.0
494,HRL,2018 q1,Mr. Robert B. Moskow,0.0
495,HRL,2018 q1,Joseph Agnese,0.0
496,HRL,2018 q1,Mr. John Colantuoni,0.0
497,HRL,2018 q1,Mr. Michael S. Lavery,0.011927247047424316
499,HRL,2018 q1,Ms. Farha Aslam,0.0
500,HRL,2018 q1,Benjamin M. Theurer,0.0
502,HRL,2018 q1,Mr. Rupesh Parikh,0.0
505,HSY,2018 q1,Joseph Agnese,0.0
506,HSY,2018 q1,Erin Lash,0.0
507,HSY,2018 q1,Mr. Pablo Zuanic,0.010487737134099007
508,HSY,2018 q1,Mr. Robert B. Moskow,0.0
509,HSY,2018 q1,Bryan D. Spillane,0.0
510,HSY,2018 q1,SADIF Research,0.9787736535072327
512,HSY,2018 q1,Mr. Warren L. Ackerman,0.0
514,HSY,2018 q1,Hr. Philip Patricha,0.0
516,HSY,2018 q1,David S. Palmer,0.0
517,HSY,2018 q1,Mr. Matthew C. Grainger,0.0
518,HSY,2018 q1,Mr Rob Dickerson,0.0
519,HSY,2018 q1,Mr. Andrew Lazar,0.0
527,K,2018 q1,Erin Lash,0.0
528,K,2018 q1,Mr. Pablo Zuanic,0.0
529,K,2018 q1,Mr. Michael S. Lavery,0.0
530,K,2018 q1,Joseph Agnese,0.0
533,K,2018 q1,Mr. Matthew C. Grainger,0.0
535,K,2018 q1,Mr. Andrew Lazar,0.0
536,K,2018 q1,Mr. Warren L. Ackerman,0.007449116092175245
539,K,2018 q1,David S. Palmer,0.0
540,K,2018 q1,Bryan D. Spillane,0.0
541,K,2018 q1,Mr. Robert B. Moskow,0.005081315990537405
542,K,2018 q1,Mr Rob Dickerson,0.0
543,K,2018 q1,"Mr. Timothy S. Ramey, CFA",0.0
548,KHC,2018 q1,Mr. Andrew Lazar,0.0
549,KHC,2018 q1,Erin Lash,0.0
550,KHC,2018 q1,Mr. Warren L. Ackerman,0.013723176904022694
552,KHC,2018 q1,Scott A. Mushkin,0.0
553,KHC,2018 q1,Lubi Kutua,0.018300563097000122
554,KHC,2018 q1,Joseph Agnese,0.0
556,KHC,2018 q1,Mr. Pablo Zuanic,0.0
557,KHC,2018 q1,Mr. Michael S. Lavery,0.0
558,KHC,2018 q1,David S. Palmer,0.0
559,KHC,2018 q1,Hr. Philip Patricha,0.0
560,KHC,2018 q1,Bryan D. Spillane,0.0
561,KHC,2018 q1,Mr. Matthew C. Grainger,0.0
562,KHC,2018 q1,Mr Rob Dickerson,0.0
568,KHC,2018 q1,SADIF Research,0.9626896977424622
570,KO,2018 q1,Credit Suisse Global Product Marketing,0.0
571,KO,2018 q1,Joseph Agnese,0.0
573,KO,2018 q1,Mr. Sonia Vora,0.0
575,KO,2018 q1,Mr. Pablo Zuanic,0.0
576,KO,2018 q1,Mr. Robert E. Ottenstein,0.006344851851463318
577,KO,2018 q1,Mr. Nik Modi,0.0
580,KO,2018 q1,Mr. Andrew Holland,0.0
581,KO,2018 q1,"Mr. Dara W. Mohsenian, CFA",0.0
582,KO,2018 q1,Bryan D. Spillane,0.0
583,KO,2018 q1,Mr. Laurent Grandet,0.004096446558833122
584,KO,2018 q1,"Mr. William B. Chappell, CFA",0.021078230813145638
586,KO,2018 q1,Ms. Vivien N. Azer,0.0
593,MDLZ,2018 q1,Joseph Agnese,0.0
596,MDLZ,2018 q1,Mr. Warren L. Ackerman,0.0
597,MDLZ,2018 q1,Hr. Philip Patricha,0.0
599,MDLZ,2018 q1,Mr. Andrew Lazar,0.0
600,MDLZ,2018 q1,Mr Rob Dickerson,0.0
601,MDLZ,2018 q1,Mr. Robert B. Moskow,0.0
602,MDLZ,2018 q1,Mr. Matthew C. Grainger,0.0
603,MDLZ,2018 q1,Bryan D. Spillane,0.03333333507180214
604,MDLZ,2018 q1,David S. Palmer,0.0
605,MDLZ,2018 q1,Steven Strycula,0.014050611294806004
606,MDLZ,2018 q1,Mr. Michael S. Lavery,0.0
607,MDLZ,2018 q1,Mr. Pablo Zuanic,0.0
609,MDLZ,2018 q1,SADIF Research,0.9779834747314453
610,MKC,2018 q1,Joseph Agnese,0.0
612,MKC,2018 q1,Lubi Kutua,0.0
616,MKC,2018 q1,Mr. Andrew Lazar,0.0
618,MKC,2018 q1,Mr Rob Dickerson,0.0
622,MKC,2018 q1,Steven Strycula,0.01063627703115344
624,MKC,2018 q1,Erin Lash,0.0
626,MKC,2018 q1,SADIF Research,0.9783070683479309
632,MKC,2018 q1,Mr. Ken B. Goldman,0.01310126157477498
634,MKC,2018 q1,Mr. Robert B. Moskow,0.0
644,MNST,2018 q1,Joseph Agnese,0.0
647,MNST,2018 q1,"Mr. Dara W. Mohsenian, CFA",0.0
648,MNST,2018 q1,Mr. Steve Powers,0.0
650,MNST,2018 q1,Ms. Vivien N. Azer,0.0
654,MNST,2018 q1,Mr. Pablo Zuanic,0.0
655,MNST,2018 q1,"Mr. William B. Chappell, CFA",0.0
657,MNST,2018 q1,Mr. Robert E. Ottenstein,0.003998844418674707
659,MNST,2018 q1,SADIF Research,0.9571312069892883
661,MNST,2018 q1,"Kevin M. Grundy, CPA",0.0
665,MO,2018 q1,Mr. Steve Powers,0.0
666,MO,2018 q1,Mr. Owen Bennett,0.0
667,MO,2018 q1,Joseph Agnese,0.0
669,MO,2018 q1,Mr. Nik Modi,0.0
671,MO,2018 q1,Mr. Philip Gorham,0.0
672,MO,2018 q1,Lisa K. Lewandowski,0.0
673,MO,2018 q1,Mr. Michael S. Lavery,0.0
674,MO,2018 q1,Ms. Vivien N. Azer,0.0
677,MO,2018 q1,Mr. Matthew C. Grainger,0.0
678,PEP,2018 q1,Mr. Steve Powers,0.0
679,PEP,2018 q1,Mr. Robert E. Ottenstein,0.0
680,PEP,2018 q1,Mr. Pablo Zuanic,0.05452147778123617
681,PEP,2018 q1,Joseph Agnese,0.0
682,PEP,2018 q1,Mr. Sonia Vora,0.0
684,PEP,2018 q1,"Mr. Dara W. Mohsenian, CFA",0.022317860275506973
686,PEP,2018 q1,Mr. Laurent Grandet,0.0
687,PEP,2018 q1,"Mr. William B. Chappell, CFA",0.0
688,PEP,2018 q1,Ms. Vivien N. Azer,0.0
694,PM,2018 q1,Lisa K. Lewandowski,0.0
695,PM,2018 q1,Mr. Owen Bennett,0.0
696,PM,2018 q1,Joseph Agnese,0.0
697,PM,2018 q1,Chas Manso,0.012319537810981274
700,PM,2018 q1,Ms. Vivien N. Azer,0.0
701,PM,2018 q1,Mr. Eamonn Ferry,0.0
703,PM,2018 q1,Mr. Matthew C. Grainger,0.0
705,PM,2018 q1,Mr. Michael S. Lavery,0.0
706,PM,2018 q1,Mr. Philip Gorham,0.0
709,SJM,2018 q1,Lubi Kutua,0.012570035643875599
710,SJM,2018 q1,"Charles E. Cerankosky, Jr",0.0
711,SJM,2018 q1,Ms. Farha Aslam,0.0
712,SJM,2018 q1,Joseph Agnese,0.0
714,SJM,2018 q1,"Jeffrey S. Thomison, CFA",0.0
715,SJM,2018 q1,Mr. Pablo Zuanic,0.009679429233074188
716,SJM,2018 q1,Mr Rob Dickerson,0.0
717,SJM,2018 q1,Mr. Matthew C. Grainger,0.0
718,SJM,2018 q1,Scott A. Mushkin,0.0
719,SJM,2018 q1,"Mr. Jon R. Andersen, CFA",0.0
727,STZ,2018 q1,Mr. Steve Powers,0.011111111690600714
729,STZ,2018 q1,Bryan D. Spillane,0.005047640297561884
731,STZ,2018 q1,"Mr. Timothy S. Ramey, CFA",0.0
733,STZ,2018 q1,Mr. Robert E. Ottenstein,0.00709272576496005
735,STZ,2018 q1,"Mr. William B. Chappell, CFA",0.007632571738213301
737,STZ,2018 q1,Ms. Vivien N. Azer,0.0
739,STZ,2018 q1,Joseph Agnese,0.0
743,STZ,2018 q1,Mr. Pablo Zuanic,0.0
749,STZ,2018 q1,Mr. Andrew Holland,0.0
753,STZ,2018 q1,Ms. Lauren R. Lieberman,0.012253133735309044
755,STZ,2018 q1,Mr. Laurent Grandet,0.0
757,STZ,2018 q1,"Mr. Dara W. Mohsenian, CFA",0.0
759,STZ,2018 q1,"Mr. Amit Sharma, CFA",0.0
773,STZ,2018 q1,Mr. Nik Modi,0.0
781,STZ,2018 q1,"Ms. Andrea F. Teixeira, CFA",0.012724492233246565
795,STZ,2018 q1,Bonnie L. Herzog,0.03333333507180214
799,TAP,2018 q1,Mr. Pablo Zuanic,0.0
801,TAP,2018 q1,Mr. Andrew Holland,0.0
803,TAP,2018 q1,Joseph Agnese,0.0
809,TAP,2018 q1,"Mr. Javier Gonzalez Lastra, CFA",0.0
811,TAP,2018 q1,Mr. Steve Powers,0.0
815,TAP,2018 q1,Bryan D. Spillane,0.013773894403129816
817,TAP,2018 q1,Mr. Robert E. Ottenstein,0.0
819,TAP,2018 q1,"Mr. Dara W. Mohsenian, CFA",0.012629230041056871
821,TAP,2018 q1,Mr. Laurent Grandet,0.0
823,TAP,2018 q1,Ms. Vivien N. Azer,0.0
833,TAP,2018 q1,Ms. Lauren R. Lieberman,0.0
837,BFb,2018 q1,Research Department,0.0
838,ADM,2018 q2,Mr. Vincent Andrews,0.007850611209869384
840,ADM,2018 q2,Mr. Seth Goldstein,0.008333333767950535
841,ADM,2018 q2,Joseph Agnese,0.0
844,ADM,2018 q2,Mr. Robert B. Moskow,0.0
845,ADM,2018 q2,Ms. Farha Aslam,0.0
853,CAG,2018 q2,Mr. Andrew Lazar,0.01378190889954567
854,CAG,2018 q2,Joseph Agnese,0.0
855,CAG,2018 q2,Lubi Kutua,0.011800297535955906
856,CAG,2018 q2,David S. Palmer,0.01666666753590107
857,CAG,2018 q2,Mr. Sonia Vora,0.0
859,CAG,2018 q2,Mr Rob Dickerson,0.0
860,CAG,2018 q2,Mr. Robert B. Moskow,0.03518121317028999
862,CAG,2018 q2,Bryan D. Spillane,0.0
863,CAG,2018 q2,SADIF Research,0.9701766967773438
867,CPB,2018 q2,Joseph Agnese,0.0
868,CPB,2018 q2,Mr. Robert B. Moskow,0.007200321648269892
869,CPB,2018 q2,Erin Lash,0.0
870,CPB,2018 q2,Scott A. Mushkin,0.0
872,CPB,2018 q2,Mr. Christopher A. Jacobson,0.03676186501979828
873,CPB,2018 q2,Bryan D. Spillane,0.0
875,CPB,2018 q2,Mr Rob Dickerson,0.0
876,CPB,2018 q2,David S. Palmer,0.0
877,CPB,2018 q2,Mr. Michael S. Lavery,0.022629844024777412
878,CPB,2018 q2,Mr. Andrew Lazar,0.0
884,HRL,2018 q2,Joseph Agnese,0.0
886,HRL,2018 q2,Lubi Kutua,0.0
887,HRL,2018 q2,Mr. Michael S. Lavery,0.0
889,HRL,2018 q2,Ms. Farha Aslam,0.0
